Series,Year,Period,Value
CEU3200000035,1997,M05,101.2
CEU3200000035,1997,M06,102.3
CEU3200000035,1997,M07,101.5
CEU3200000035,1997,M08,104.4
CEU3200000035,1997,M09,106
CEU3200000035,1997,M10,105.1
CEU3200000035,1997,M11,106.3
CEU3200000035,1997,M12,107.1
CEU3200000035,1998,M01,103.6
CEU3200000035,1998,M02,103
CEU3200000035,1998,M03,103.8
CEU3200000035,1998,M04,102.5
CEU3200000035,1998,M05,104.2
CEU3200000035,1998,M06,105.6
CEU3200000035,1998,M07,104.4
CEU3200000035,1998,M08,106.1
CEU3200000035,1998,M09,107.8
CEU3200000035,1998,M10,106.2
CEU3200000035,1998,M11,106.5
CEU3200000035,1998,M12,107.4
CEU3200000035,1999,M01,103.6
CEU3200000035,1999,M02,102.8
CEU3200000035,1999,M03,103.5
CEU3200000035,1999,M04,103.5
CEU3200000035,1999,M05,104.2
CEU3200000035,1999,M06,105.6
CEU3200000035,1999,M07,105
CEU3200000035,1999,M08,106.3
CEU3200000035,1999,M09,107.4
CEU3200000035,1999,M10,107.3
CEU3200000035,1999,M11,107.9
CEU3200000035,1999,M12,109
CEU3200000035,2000,M01,105.2
CEU3200000035,2000,M02,104.8
CEU3200000035,2000,M03,105.2
CEU3200000035,2000,M04,106.3
CEU3200000035,2000,M05,105.6
CEU3200000035,2000,M06,107.3
CEU3200000035,2000,M07,107
CEU3200000035,2000,M08,107.4
CEU3200000035,2000,M09,108.5
CEU3200000035,2000,M10,107.4
CEU3200000035,2000,M11,107.5
CEU3200000035,2000,M12,107
CEU3200000035,2001,M01,104.7
CEU3200000035,2001,M02,103.1
CEU3200000035,2001,M03,103.3
CEU3200000035,2001,M04,102
CEU3200000035,2001,M05,102.8
CEU3200000035,2001,M06,103.8
CEU3200000035,2001,M07,103.2
CEU3200000035,2001,M08,103.2
CEU3200000035,2001,M09,104.3
CEU3200000035,2001,M10,101.9
CEU3200000035,2001,M11,101.8
CEU3200000035,2001,M12,102.2
CEU3200000035,2002,M01,98.7
CEU3200000035,2002,M02,97.8
CEU3200000035,2002,M03,98.8
CEU3200000035,2002,M04,98.8
CEU3200000035,2002,M05,99.2
CEU3200000035,2002,M06,101.3
CEU3200000035,2002,M07,100.2
CEU3200000035,2002,M08,101.1
CEU3200000035,2002,M09,102
CEU3200000035,2002,M10,100.6
CEU3200000035,2002,M11,100.4
CEU3200000035,2002,M12,101.3
CEU3200000035,2003,M01,97.5
CEU3200000035,2003,M02,97.3
CEU3200000035,2003,M03,97.9
CEU3200000035,2003,M04,96.7
CEU3200000035,2003,M05,96.8
CEU3200000035,2003,M06,98
CEU3200000035,2003,M07,96.5
CEU3200000035,2003,M08,97.9
CEU3200000035,2003,M09,99.6
CEU3200000035,2003,M10,98.2
CEU3200000035,2003,M11,99.3
CEU3200000035,2003,M12,99.2
CEU3200000035,2004,M01,96.4
CEU3200000035,2004,M02,96.3
